Name,Host,Description,Hours,Age,Requirements,Field,Days
Riverside Park Cleanup,GreenEarth Organization,"Help clean up litter, plant native trees, and restore walking trails along the riverbank.",3,14,"Saturday mornings, in-person","Environment & Nature","Saturday"
Virtual Tutoring Buddies,LearnTogether Network,"Tutor middle school students online in math, science, or reading through weekly virtual sessions.",2,15,"High school students, reliable Wi-Fi, Zoom access","Education & Training","Weekdays"
Animal Shelter Media Team,PawPals Rescue Center,"Create social media posts and adoption flyers for rescued pets to help them find homes.",3,15,"Basic design or social media skills, remote or onsite","Animal Welfare","Flexible"
Community Garden Assistant,Urban Roots Project,"Help maintain vegetable plots, compost stations, and host sustainability workshops.",4,13,"Comfortable with outdoor work, weekends","Environment & Nature","Saturday, Sunday"
Arts for All Youth Program,Creative Horizons Foundation,"Assist in after-school art workshops for elementary students—painting, crafts, and theater games.",3,14,"After school hours, in-person","Arts & Culture","Monday–Friday"
Teen Mental Health Ambassadors,Mindful Futures Initiative,"Help design mental wellness campaigns and participate in awareness events at local schools.",5,15,"Virtual or in-person hybrid","Community Service","Flexible"
STEM Mentorship Program,Future Innovators Club,"Pair up with younger students to explore coding, robotics, and science experiments.",2,14,"Basic STEM interest, weekdays after school","Technology & STEM","Monday–Friday"
Library Reading Companion,City Public Library,"Read aloud to children and help organize weekend storytime sessions.",2,13,"Weekends, in-person","Education & Training","Saturday, Sunday"
Food Bank Organizer,Helping Hands Food Collective,"Sort, pack, and distribute food donations to families in need in your community.",4,14,"Can lift up to 25 lbs, in-person","Community Service","Saturday"
EcoTech Recycling Drive,ReNew Earth Initiative,"Support an electronic recycling campaign by collecting old devices and spreading awareness online.",3,15,"Social media outreach, hybrid (remote & onsite)","Environment & Nature","Flexible"
Senior Tech Helpers,Golden Connections Center,"Teach senior citizens how to use smartphones, email, and video calls to stay connected with family.",2,15,"Patience, basic tech knowledge, in-person","Senior Care","Wednesday, Friday"
Wildlife Habitat Restoration,Nature Conservancy Youth Corps,"Assist in restoring local wetlands and planting native species to improve wildlife habitats.",4,14,"Outdoor work, transportation to site","Environment & Nature","Saturday"
Museum Docent Volunteer,City Art & History Museum,"Lead visitors through exhibits, share interesting facts, and assist in event setup.",3,15,"Comfortable speaking to groups, weekends","Arts & Culture","Saturday, Sunday"
Coding for Kids Club,STEMStart Initiative,"Teach elementary students basic coding concepts through fun games and challenges.",2,14,"Basic Python or Scratch knowledge, in-person or virtual","Technology & STEM","Tuesday, Thursday"
Youth Leadership Workshop,NextGen Leaders Network,"Support and mentor middle school students during weekend leadership and confidence-building events.",3,15,"Strong communication skills, weekends","Youth Mentoring","Saturday"
Community Art Mural Project,Local Arts Collective,"Collaborate with artists to design and paint a public mural celebrating local culture and diversity.",4,14,"Teamwork, artistic interest, in-person","Arts & Culture","Saturday, Sunday"
Animal Therapy Visits,Pawsitive Companions Program,"Accompany therapy animals on visits to nursing homes and schools to provide comfort and smiles.",2,15,"Comfortable around animals, weekend availability","Animal Welfare","Saturday"
Homework Help Hotline,Scholars United,"Provide remote homework help for younger students via chat or video sessions after school.",3,14,"Strong academic skills, virtual participation","Education & Training","Monday–Thursday"
Neighborhood Clean Streets Team,Community Builders Club,"Work with local residents to clean public areas, paint benches, and plant flowers in shared spaces.",3,13,"Outdoor work, community collaboration","Community Service","Sunday"
Senior Story Recording Project,Heritage Voices Initiative,"Interview seniors in your community and record their life stories for a digital history archive.",2,15,"Good listening skills, recording device or phone","Senior Care","Friday"
